"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Edison Township School District, New Jersey","3404500",100494,5172,4252,91070,38473,2213,1749,34511,14228,763,521,12944,1225,40,158,1027,46568,2156,1824,42588
"Egg Harbor Township School District, New Jersey","3404560",43512,4820,2123,36569,24811,2970,1200,20641,9933,884,349,8700,1293,135,64,1094,7475,831,510,6134
"Elizabeth City School District, New Jersey","3404590",126074,23979,19148,82947,50140,11131,7904,31105,9919,1778,1077,7064,6157,1404,845,3908,59858,9666,9322,40870
"Elmer Borough School District, New Jersey","3404650",1398,155,14,1229,1072,116,7,949,303,36,6,261,4,0,0,4,19,3,1,15
"Elmwood Park Borough School District, New Jersey","3404660",20079,1892,1149,17038,10272,1118,609,8545,3201,397,112,2692,344,21,33,290,6262,356,395,5511
"Elsinboro Township School District, New Jersey","3404680",1126,119,60,947,736,81,41,614,384,36,19,329,0,0,0,0,6,2,0,4
"Emerson Borough School District, New Jersey","3404710",7397,593,63,6741,4207,258,50,3899,1935,261,13,1661,11,0,0,11,1244,74,0,1170
"Englewood City School District, New Jersey","3404740",27999,3154,1573,23272,8376,1446,368,6562,9900,711,305,8884,456,54,31,371,9267,943,869,7455
"Englewood Cliffs Borough School District, New Jersey","3404770",5405,204,68,5133,1462,28,20,1414,1412,43,24,1345,174,10,0,164,2357,123,24,2210
"Estell Manor City School District, New Jersey","3404860",1689,77,99,1513,1199,57,76,1066,431,20,16,395,0,0,0,0,59,0,7,52
"Ewing Township School District, New Jersey","3404920",32220,3154,1901,27165,19916,1866,1007,17043,8139,731,586,6822,465,106,31,328,3700,451,277,2972
"Fair Lawn Borough School District, New Jersey","3404980",33038,1518,1003,30517,15021,407,463,14151,7977,425,136,7416,271,17,0,254,9769,669,404,8696
